,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,82.18,69,100,5.1,MV,1611433403
1,severo-kurilsk,50.6789,156.125,22.26,95,88,34.27,RU,1611433404
2,puerto ayora,-0.7393,-90.3518,82.4,74,40,11.5,EC,1611433290
3,atuona,-9.8,-139.0333,78.12,79,2,18.39,PF,1611433404
4,taolanaro,,,,,,,,
5,snasa,64.2457,12.3778,15.04,93,100,6.64,NO,1611433404
6,kapaa,22.0752,-159.319,72,94,90,20.71,US,1611433404
7,clonakilty,51.6231,-8.8706,37.99,100,75,4.61,IE,1611433404
8,upernavik,72.7868,-56.1549,21.18,79,100,5.5,GL,1611433404
9,saint-philippe,-21.3585,55.7679,78.8,73,0,5.75,RE,1611433404
10,khatanga,71.9667,102.5,-27.29,84,100,11.39,RU,1611433405
11,uhlove,44.8215,33.6045,53.01,45,55,7,UA,1611433405
12,norman wells,65.282,-126.8329,-18.4,76,40,8.05,CA,1611433405
13,rikitea,-23.1203,-134.9692,78.84,67,0,10.31,PF,1611433405
14,luderitz,-26.6481,15.1594,72.37,48,100,27.47,NA,1611433405
15,tiarei,-17.5333,-149.3333,84.2,65,20,5.75,PF,1611433405
16,torbay,47.6666,-52.7314,25,93,90,16.11,CA,1611433405
17,isangel,-19.55,169.2667,77.23,89,100,7.29,VU,1611433406
18,tasiilaq,65.6145,-37.6368,14,57,12,4.61,GL,1611433406
19,vaini,-21.2,-175.2,80.6,89,75,6.85,TO,1611433406
20,lavrentiya,65.5833,-171,-2.16,86,82,4.59,RU,1611433406
21,pangnirtung,66.1451,-65.7125,15.8,73,20,3.44,CA,1611433406
22,punta arenas,-53.15,-70.9167,59,47,0,29.93,CL,1611433322
23,busselton,-33.65,115.3333,61,88,38,4.47,AU,1611433406
24,cidreira,-30.1811,-50.2056,78.8,76,0,15.26,BR,1611433406
25,wicklow,53,-6.4167,34,80,0,6.91,IE,1611433407
26,longyearbyen,78.2186,15.6401,8.6,72,0,11.5,SJ,1611433407
27,lompoc,34.6391,-120.4579,50,81,90,5.75,US,1611433407
28,esperance,-33.8667,121.9,62.6,94,90,6.91,AU,1611433407
29,marcona,,,,,,,,
30,mataura,-46.1927,168.8643,55,84,100,8.01,NZ,1611433407
31,progreso,21.2833,-89.6667,91,35,40,9.22,MX,1611433407
32,butaritari,3.0707,172.7902,79.68,80,94,11.59,KI,1611433408
33,shache,38.4167,77.2406,23.22,66,9,5.01,CN,1611433408
34,illoqqortoormiut,,,,,,,,
35,bluff,-46.6,168.3333,55,84,91,8.01,NZ,1611433408
36,itoman,26.1247,127.6694,66.2,77,75,21.85,JP,1611433408
37,sao filipe,14.8961,-24.4956,74.07,68,28,7.09,CV,1611433408
38,barrow,71.2906,-156.7887,6.8,78,1,17.27,US,1611433408
39,chibuto,-24.6867,33.5306,77.07,86,100,8.52,MZ,1611433408
40,ushuaia,-54.8,-68.3,64.4,36,75,19.57,AR,1611433409
41,nanortalik,60.1432,-45.2371,23.43,88,0,7.18,GL,1611433409
42,agadez,19.75,10.25,58.95,27,0,6.82,NE,1611433233
43,abu kamal,34.4506,40.9171,44.15,56,0,2.64,SY,1611433409
44,kamaishi,39.2667,141.8833,32.31,90,100,4.25,JP,1611433409
45,hobart,-42.8794,147.3294,57.99,94,40,5.75,AU,1611433149
46,new norfolk,-42.7826,147.0587,57.99,75,5,2.53,AU,1611433409
47,san jose,37.3394,-121.895,54,66,40,11.5,US,1611433341
48,liverpool,53.4106,-2.9779,35.6,93,0,5.75,GB,1611433409
49,bredasdorp,-34.5322,20.0403,62.6,94,100,9.22,ZA,1611433410
50,sol-iletsk,51.1631,54.9918,13.6,96,100,14.29,RU,1611433410
51,rocha,-34.4833,-54.3333,85.3,52,7,15.32,UY,1611433410
52,mananara,-16.1667,49.7667,75.38,84,15,4.27,MG,1611433410
53,buraydah,26.326,43.975,51.8,37,40,6.91,SA,1611433351
54,ilulissat,69.2167,-51.1,19.4,38,20,6.91,GL,1611433410
55,hermanus,-34.4187,19.2345,62.01,95,99,1.99,ZA,1611433410
56,georgetown,5.4112,100.3354,78.01,88,20,2.3,MY,1611433311
57,chuy,-33.6971,-53.4616,80.38,65,16,12.93,UY,1611433411
58,tautira,-17.7333,-149.15,84.2,65,20,5.75,PF,1611433411
59,ancud,-41.8697,-73.8203,66.2,63,0,9.22,CL,1611433411
60,timmins,48.4669,-81.3331,1.4,66,75,3.87,CA,1611433333
61,yueyang,29.3333,113.0919,46.18,79,0,2.93,CN,1611433411
62,belushya guba,,,,,,,,
63,constitucion,-35.3333,-72.4167,67.23,70,15,6.89,CL,1611433411
64,tezu,27.9167,96.1667,61.72,49,72,3.06,IN,1611433412
65,mahibadhoo,3.7833,72.9667,83.3,65,100,6.71,MV,1611433412
66,moundsville,39.9203,-80.7431,30.99,43,1,8.05,US,1611433412
67,lodeynoye pole,60.726,33.5531,33.51,97,100,5.66,RU,1611433412
68,albany,42.6001,-73.9662,23,43,3,8.99,US,1611433317
69,qaanaaq,77.484,-69.3632,17.85,79,100,3.67,GL,1611433412
70,hilo,19.7297,-155.09,75.2,69,90,4.12,US,1611433412
71,henties bay,-22.116,14.2845,71.01,86,100,2.51,NA,1611433413
72,champerico,14.3,-91.9167,89.6,45,75,6.91,GT,1611433413
73,shenjiamen,29.9576,122.298,43.18,86,1,15.75,CN,1611433413
74,tabou,4.423,-7.3528,78.49,87,0,7.74,CI,1611433413
75,hasaki,35.7333,140.8333,39.2,100,75,19.57,JP,1611433413
76,kishangarh,26.5667,74.8667,55.63,33,0,9.33,IN,1611433413
77,port hardy,50.6996,-127.4199,39.2,81,75,6.91,CA,1611433200
78,barauna,-5.08,-37.6167,89.6,58,75,18.41,BR,1611433413
79,dikson,73.5069,80.5464,-17.86,90,92,5.12,RU,1611433414
80,mount gambier,-37.8333,140.7667,64.4,77,100,5.75,AU,1611433152
81,bengkulu,-3.8004,102.2655,76.71,82,92,4.47,ID,1611433414
82,sao joao da barra,-21.6403,-41.0511,84.2,54,20,16.11,BR,1611433414
83,fortuna,40.5982,-124.1573,52,66,1,10.36,US,1611433414
84,ampanihy,-24.7,44.75,77.94,84,100,4.72,MG,1611433414
85,bethel,41.3712,-73.414,28.99,26,1,16.11,US,1611433414
86,colac,-38.3333,143.5833,64.99,62,91,5.17,AU,1611433414
87,wattegama,6.7989,81.4808,73.4,100,0,6.91,LK,1611433415
88,mayo,38.8876,-76.5119,35.01,40,1,13.8,US,1611433415
89,pleasanton,37.6624,-121.8747,54,66,75,5.75,US,1611433415
90,brae,60.3964,-1.353,39.2,70,75,10.36,GB,1611433415
91,souillac,-20.5167,57.5167,78.8,83,40,2.3,MU,1611433415
92,karratha,-20.7377,116.8463,83.3,49,0,15.7,AU,1611433415
93,bambous virieux,-20.3428,57.7575,79,83,40,2.3,MU,1611433415
94,aklavik,68.2191,-135.0107,-0.4,78,75,6.91,CA,1611433415
95,burica,,,,,,,,
96,shaoyang,27.2315,111.4525,46.89,71,0,2.3,CN,1611433416
97,tateyama,34.9833,139.8667,39.2,87,75,23.02,JP,1611433416
98,balikpapan,-1.2675,116.8289,75.45,92,100,4.68,ID,1611433416
99,port alfred,-33.5906,26.891,69.01,94,89,5.01,ZA,1611433416
100,manzanillo,20.3433,-77.1167,87.01,50,0,0.54,CU,1611433416
101,saskylakh,71.9167,114.0833,-33.63,81,66,5.57,RU,1611433416
102,ondorhaan,,,,,,,,
103,baruun-urt,46.6806,113.2792,6.24,88,2,10.83,MN,1611433417
104,port blair,11.6667,92.75,76.14,67,85,7.31,IN,1611433417
105,osterholz-scharmbeck,53.2333,8.8,37,93,75,4.61,DE,1611433417
106,korla,41.7597,86.1469,26.55,89,100,5.46,CN,1611433417
107,avarua,-21.2078,-159.775,84.2,70,68,8.05,CK,1611433417
108,lesosibirsk,58.2358,92.4828,-3.39,91,100,4.23,RU,1611433417
109,preobrazheniye,42.9019,133.9064,21.38,81,0,5.44,RU,1611433417
110,arraial do cabo,-22.9661,-42.0278,84.2,74,0,17.27,BR,1611433418
111,nicoya,10.1483,-85.452,89.6,48,20,18.41,CR,1611433418
112,jamestown,42.097,-79.2353,21.99,73,90,16.11,US,1611433418
113,zaysan,47.4667,84.8667,4.19,83,100,2.53,KZ,1611433418
114,jaque,7.5175,-78.1703,81.25,80,96,6.64,PA,1611433418
115,abonnema,4.7084,6.7931,75.2,73,100,2.3,NG,1611433418
116,mys shmidta,,,,,,,,
117,katha,,,,,,,,
118,guider,9.9342,13.9486,76.71,19,94,6.85,CM,1611433419
119,thompson,55.7435,-97.8558,-9.4,70,90,10.36,CA,1611433419
120,snezhnogorsk,69.1933,33.2531,5,78,40,13.42,RU,1611433419
121,tiksi,71.6872,128.8694,-42.34,79,35,5.32,RU,1611433419
122,oktyabrskoye,43.0645,44.7417,21.2,93,0,4.47,RU,1611433419
123,bathsheba,13.2167,-59.5167,82.4,61,20,14.97,BB,1611433419
124,kutum,14.2,24.6667,61.41,27,10,7.67,SD,1611433419
125,lazaro cardenas,17.9583,-102.2,83.55,60,100,7.43,MX,1611433419
126,yulara,-25.2406,130.9889,73.4,94,40,9.22,AU,1611433420
127,mitsamiouli,-11.3847,43.2844,81.93,71,100,5.19,KM,1611433420
128,cape town,-33.9258,18.4232,69.01,82,75,11.5,ZA,1611433093
129,adelaide,-34.9333,138.6,91,14,0,12.66,AU,1611433420
130,grand-santi,4.25,-54.3833,80.6,84,36,4.25,GF,1611433420
131,vung tau,10.346,107.0843,75.06,85,100,15.68,VN,1611433420
132,nizhneyansk,,,,,,,,
133,parati,-23.2178,-44.7131,84.2,51,75,3.44,BR,1611433421
134,randolph,35.7001,-79.8164,46.99,18,1,5.75,US,1611433421
135,yellowknife,62.456,-114.3525,-18.99,76,75,3.44,CA,1611433421
136,iwaki,37.05,140.8833,37.99,90,100,1.01,JP,1611433421
137,carnarvon,-24.8667,113.6333,73.4,64,75,13.8,AU,1611433421
138,kodiak,57.79,-152.4072,41,52,1,11.5,US,1611433421
139,broome,42.2506,-75.833,19.99,73,90,18.41,US,1611433421
140,pevek,69.7008,170.3133,-11.27,90,100,9.1,RU,1611433421
141,tuatapere,-46.1333,167.6833,55,84,98,8.01,NZ,1611433422
142,teahupoo,-17.8333,-149.2667,84.2,65,20,5.75,PF,1611433422
143,lorengau,-2.0226,147.2712,80.29,73,88,3.98,PG,1611433422
144,havoysund,70.9963,24.6622,14,79,90,18.41,NO,1611433422
145,biskamzha,53.4497,89.5272,-0.72,89,100,3.87,RU,1611433422
146,kaitangata,-46.2817,169.8464,62.01,46,100,13,NZ,1611433422
147,antofagasta,-23.65,-70.4,73.99,73,0,13.8,CL,1611433422
148,khamanon,30.8186,76.3508,49.01,80,12,5.26,IN,1611433423
149,hamilton,39.1834,-84.5333,35.01,40,1,4.61,US,1611433129
150,touros,-5.1989,-35.4608,82.4,65,40,13.8,BR,1611433423
151,port lincoln,-34.7333,135.8667,75.45,45,100,4.54,AU,1611433423
152,merauke,-8.4667,140.3333,78.75,87,76,9.69,ID,1611433423
153,shush,32.1942,48.2436,52.86,40,0,6.58,IR,1611433423
154,naze,28.3667,129.4833,62.04,89,25,11.34,JP,1611433423
155,guerrero negro,27.9769,-114.0611,63.91,54,94,8.46,MX,1611433423
156,bahia blanca,-38.7196,-62.2724,104.02,15,0,8.25,AR,1611433208
157,provideniya,64.3833,-173.3,6.33,83,39,4.05,RU,1611433424
158,saint-joseph,-21.3667,55.6167,78.8,73,0,5.75,RE,1611433424
159,guantanamo,20.1444,-75.2092,84.2,65,20,12.66,CU,1611433424
160,sorvag,,,,,,,,
161,sioux lookout,50.1001,-91.917,12.2,73,90,5.75,CA,1611433424
162,general roca,-39.0333,-67.5833,104,22,0,3.44,AR,1611433424
163,imeni poliny osipenko,52.4201,136.4853,-8.09,91,99,5.64,RU,1611433424
