,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,77,52,99,18.99,NZ,1611612578
1,pirapemas,-3.7267,-44.2233,76.41,92,100,2.33,BR,1611612578
2,taolanaro,,,,,,,,
3,vaini,-21.2,-175.2,82.4,83,40,13.8,TO,1611612579
4,rikitea,-23.1203,-134.9692,79.74,71,1,13.85,PF,1611612579
5,inuvik,68.3499,-133.7218,-7.6,84,94,3.44,CA,1611612486
6,pajapan,18.25,-94.7,93.2,36,20,11.5,MX,1611612580
7,hermanus,-34.4187,19.2345,62.01,82,0,8.5,ZA,1611612580
8,mar del plata,-38.0023,-57.5575,80.6,74,20,11.5,AR,1611612538
9,hilo,19.7297,-155.09,71.6,88,90,11.5,US,1611612580
10,butaritari,3.0707,172.7902,79.3,76,93,6.55,KI,1611612580
11,aklavik,68.2191,-135.0107,-7.6,84,90,3.44,CA,1611612580
12,warri,5.5167,5.75,79.99,73,22,6.33,NG,1611612580
13,srednekolymsk,67.45,153.6833,-41.06,80,23,1.86,RU,1611612581
14,khvoynaya,58.9,34.5333,34.2,97,100,7.85,RU,1611612581
15,ancud,-41.8697,-73.8203,62.6,42,20,12.66,CL,1611612581
16,saint-philippe,-21.3585,55.7679,78.8,73,0,5.75,RE,1611612581
17,cape town,-33.9258,18.4232,69.01,88,0,17.27,ZA,1611612542
18,san miguel,13.4833,-88.1833,94.03,31,93,5.39,SV,1611612284
19,port elizabeth,-33.918,25.5701,66.2,88,40,11.5,ZA,1611612414
20,novikovo,51.1537,37.8879,32.32,94,92,14.83,RU,1611612581
21,port alfred,-33.5906,26.891,70.32,78,3,23.35,ZA,1611612581
22,busselton,-33.65,115.3333,55,92,4,6.44,AU,1611612582
23,atuona,-9.8,-139.0333,78.66,76,16,18.14,PF,1611612582
24,punta de piedra,7.6176,-71.4916,83.64,56,48,2.73,VE,1611612582
25,mitchell,43.7094,-98.0298,21.2,63,90,11.5,US,1611612582
26,georgetown,5.4112,100.3354,78.8,94,20,3.44,MY,1611612429
27,ushuaia,-54.8,-68.3,53.6,40,75,11.5,AR,1611612380
28,chokurdakh,70.6333,147.9167,-38.97,79,99,6.04,RU,1611612582
29,kamenka,51.3223,42.7678,33.42,94,91,16.17,RU,1611612583
30,sitka,57.0531,-135.33,35.6,80,20,3.44,US,1611612583
31,punta arenas,-53.15,-70.9167,50,50,40,29.93,CL,1611612444
32,victoria,22.2855,114.1577,64.99,87,1,9.48,HK,1611612469
33,bredasdorp,-34.5322,20.0403,60.8,88,0,3.44,ZA,1611612583
34,airai,-8.9266,125.4092,60.22,100,99,2.71,TL,1611612583
35,bluff,-46.6,168.3333,77,52,100,18.99,NZ,1611612583
36,arraial do cabo,-22.9661,-42.0278,80.6,78,0,29.93,BR,1611612583
37,dalnerechensk,45.9339,133.7225,16,96,100,4.29,RU,1611612584
38,dondo,-19.6094,34.7431,77,88,40,3.51,MZ,1611612584
39,wonthaggi,-38.6044,145.5913,64.99,95,100,16.51,AU,1611612584
40,barabinsk,55.3571,78.357,-22.85,87,93,6.33,RU,1611612585
41,saldanha,-33.0117,17.9442,62.6,82,0,9.22,ZA,1611612585
